"id","text","is_correct","question_id"
2357,It skips the current iteration of a loop.,0,604
2358,It is a null operation; nothing happens when it executes.,1,604
2359,It terminates the program.,0,604
2360,"3",0,605
2361,"1",1,605
2362,"0",0,605
2363,"3.33",0,605
2364,<class 'tuple'>,0,606
2365,<class 'list'>,1,606
2366,<class 'dict'>,0,606
2367,<class 'set'>,0,606
2368,int,0,607
2369,tuple,0,607
2370,str,0,607
2371,list,1,607
2372,"10",0,608
2373,"15",0,608
2374,"25",0,608
2375,"125",1,608
2376,Error,0,608
2377,py,0,609
2378,yn,1,609
2379,pyn,0,609
2380,yna,0,609
2381,Python Quiz,0,610
2382,PythonQuiz,1,610
2383,Python+Quiz,0,610
2384,Error,0,610
2385,os.cwd(),0,611
2386,os.get_current_directory(),0,611
2387,os.getcwd(),1,611
2388,os.current_dir(),0,611
2389,No,0,612
2390,Yes,1,612
2391,True,0,613
2392,False,1,613
2393,None,0,613
2394,Error,0,613
2395,To call a method in the current class.,0,614
2396,To define a static method.,0,614
2397,To refer to the parent or sibling class dynamically.,1,614
2398,To explicitly destroy an object.,0,614
2399,The program executed with errors,1,615
2400,"['Jon', 'Kelly', 'Scott', 'Jessa']",0,615
2401,"['Jon', 'Kelly', 'Jessa', 'Scott']",0,615
2402,"['Jon', 'Scott', 'Kelly', 'Jessa']",0,615
2403,"{'Vicki', 'Jodi', 'Garry', 'Eric'}",0,616
2404,"{'Jodi', 'Vicki', 'Garry', 'Eric'}",0,616
2405,The program executed with error,1,616
2406,_my_variable,0,617
2407,myVariable,0,617
2408,"2myvariable",1,617
2409,my_variable2,0,617
2410,int,0,618
2411,tuple,0,618
2412,str,0,618
2413,list,1,618
2414,"[1, 2, 3]",0,619
2415,"[1, 2, 3, 4]",1,619
2416,"[4, 1, 2, 3]",0,619
2417,Error,0,619
2418,list.add(element),0,620
2419,list.insert(element),0,620
2420,list.append(element),1,620
2421,list.extend(element),0,620
2422,Jam,0,621
2423,dno,0,621
2424,maJ,1,621
2425,dnoB semaJ,0,621
2426,"A mutable, ordered sequence of items.",0,622
2427,"An immutable, ordered sequence of items.",1,622
2428,"A mutable, unordered collection of unique items.",0,622
2429,"An immutable, unordered collection of key-value pairs.",0,622
2430,"20",0,623
2431,The program executed with errors,0,623
2432,"30",1,623
2433,"3.333",0,624
2434,"3",1,624
2435,"4",0,624
2436,"1",0,624
2437,True,0,625
2438,False,1,625
2439,Error,0,625
2440,None,0,625
2441,Keywords inside angle brackets that describe content and structure.,1,626
2442,Python functions used to style output.,0,626
2443,Commands executed by the browser’s CPU.,0,626
2444,SQL statements for web pages.,0,626
2445,"HTML5 adds multimedia, semantic tags, <audio>, <video>, and new APIs.",1,627
2446,There is no difference.,0,627
2447,HTML5 removed <div> and <span>.,0,627
2448,HTML is newer than HTML5.,0,627
2449,"<!DOCTYPE html>, <html>, <head>, <body>",1,628
2450,"<html>, <meta>, <div>",0,628
2451,"<html>, <canvas>, <script>",0,628
2452,"<doctype>, <style>, <footer>",0,628
2453,A tag = markup inside < >; an element = tag + content + attributes.,1,629
2454,There is no difference.,0,629
2455,A tag is only visible text.,0,629
2456,An element is always a closing tag.,0,629
2457,<h6>,0,630
2458,<heading>,0,630
2459,<h1>,1,630
2460,<title>,0,630
2461,<text>,0,631
2462,<para>,0,631
2463,<body>,0,631
2464,<p>,1,631
2465,<img>,1,632
2466,<pic>,0,632
2467,<image>,0,632
2468,<src>,0,632
2469,href,0,633
2470,src,1,633
2471,alt,0,633
2472,title,0,633
2473,<meta>,0,634
2474,<info>,0,634
2475,<head>,1,634
2476,<header>,0,634
2477,Marks the beginning of the CSS section.,0,635
2478,Tells the browser to render in HTML5 mode.,1,635
2479,Starts the JavaScript engine.,0,635
2480,Closes the document.,0,635
2481,<link>,0,636
2482,<url>,0,636
2483,<a>,1,636
2484,<href>,0,636
2485,<ol>,0,637
2486,<ul>,1,637
2487,<li>,0,637
2488,<list>,0,637
2489,<div>,0,638
2490,<header>,1,638
2491,<span>,0,638
2492,<b>,0,638
2493,text,0,639
2494,password,0,639
2495,email,1,639
2496,radio,0,639
2497,<break>,0,640
2498,<lb>,0,640
2499,<br>,1,640
2500,<line>,0,640
2501,The visible headline on the page.,0,641
2502,Text shown in the browser tab.,1,641
2503,The background color of the page.,0,641
2504,The footer text.,0,641
2505,<div>,1,642
2506,<span>,0,642
2507,<section>,0,642
2508,<group>,0,642
2509,<script>,0,643
2510,<pre>,0,643
2511,<code>,1,643
2512,<cmd>,0,643
2513,Web Storage,1,644
2514,Flash API,0,644
2515,JavaFX API,0,644
2516,Silverlight API,0,644
2517,<sound>,0,645
2518,<audio>,1,645
2519,<music>,0,645
2520,<mp3>,0,645
